Source Port,Fwd Packet Length Max,Total Length of Fwd Packets,Flow Bytes/s,Init_Win_bytes_forward,Destination Port,Protocol,Flow Duration,Fwd Packet Length Std,Flow Packets/s
0,0.0,0.0,0.0,-1,0,0,18820250,0.0,0.1062685139676678
0,0.0,0.0,0.0,-1,0,0,5376376,0.0,0.5579966877316617
0,0.0,0.0,0.0,-1,0,0,151,0.0,13245.03311258278
0,0.0,0.0,0.0,-1,0,0,5298510,0.0,0.5661969119620421
0,0.0,0.0,0.0,-1,0,0,41936628,0.0,5.627538771119128
0,0.0,0.0,0.0,-1,0,0,20063064,0.0,0.2990570134252674
0,0.0,0.0,0.0,-1,0,0,45003615,0.0,0.0444408743608707
0,0.0,0.0,0.0,-1,0,0,33270382,0.0,0.0601135267999026
0,0.0,0.0,0.0,-1,0,0,131356,0.0,15.22579859313621
0,0.0,0.0,0.0,-1,0,0,1972623,0.0,1.52081771326807
0,0.0,0.0,0.0,-1,0,0,9105199,0.0,0.2196547269312839
0,0.0,0.0,0.0,-1,0,0,131223,0.0,38.10307644239196
0,0.0,0.0,0.0,-1,0,0,2909858,0.0,1.0309781439506671
0,0.0,0.0,0.0,-1,0,0,151554,0.0,46.18815735645381
54060,0.0,0.0,1266.5831928029122,-1,53,17,138167,0.0,14.47523648917614
50042,1236.0,2606.0,43.45818912181634,-1,443,6,89994546,432.0656165094568,0.3111299655870256
0,0.0,0.0,0.0,-1,0,0,2717175,0.0,3.6802929513189246
0,0.0,0.0,0.0,-1,0,0,1811994,0.0,1.103756414204462
0,0.0,0.0,0.0,-1,0,0,738086,0.0,5.419422668903081
0,0.0,0.0,0.0,-1,0,0,58628846,0.0,0.0341129006700899
0,0.0,0.0,0.0,-1,0,0,103702,0.0,19.28603112765424
0,0.0,0.0,0.0,-1,0,0,25479905,0.0,0.1177398424366182
0,0.0,0.0,0.0,-1,0,0,30045,0.0,66.56681644200367
0,0.0,0.0,0.0,-1,0,0,12941789,0.0,0.3863453499357778
0,0.0,0.0,0.0,-1,0,0,29005131,0.0,0.1379066345192511
0,0.0,0.0,0.0,-1,0,0,50849030,0.0,0.0589981755797504
0,0.0,0.0,0.0,-1,0,0,2052000,0.0,1.4619883040935673
0,0.0,0.0,0.0,-1,0,0,4863104,0.0,0.4112599689416472
0,0.0,0.0,0.0,-1,0,0,6688517,0.0,0.4485299207582189
0,0.0,0.0,0.0,-1,0,0,1571078,0.0,1.273011269968773
0,0.0,0.0,0.0,-1,0,0,224524,0.0,17.815467388786946
0,0.0,0.0,0.0,-1,0,0,48558369,0.0,0.4118754482878121
0,0.0,0.0,0.0,-1,0,0,58874758,0.0,0.0509556234609066
0,0.0,0.0,0.0,-1,0,0,3825388,0.0,0.5228227829438478
0,0.0,0.0,0.0,-1,0,0,400243,0.0,9.993928688321844
62824,0.0,0.0,1142.5056026717054,-1,19302,17,45514,0.0,43.942523179680975
0,0.0,0.0,0.0,-1,0,0,1098177,0.0,1.8212000433445608
0,0.0,0.0,0.0,-1,0,0,728596,0.0,13.725027312804352
0,0.0,0.0,0.0,-1,0,0,32802,0.0,60.97189195780746
0,0.0,0.0,0.0,-1,0,0,2701327,0.0,0.7403768592251142
0,0.0,0.0,0.0,-1,0,0,12500682,0.0,0.159991270876261
0,0.0,0.0,0.0,-1,0,0,7461276,0.0,0.2680506658646591
61892,0.0,0.0,806.7827033426584,-1,53,17,209474,0.0,9.547724299913115
0,0.0,0.0,0.0,-1,0,0,220612,0.0,18.131379979330227
0,0.0,0.0,0.0,-1,0,0,3442470,0.0,2.6144018684258685
0,0.0,0.0,0.0,-1,0,0,101919295,0.0,0.2158570661227591
0,0.0,0.0,0.0,-1,0,0,3584,0.0,1116.071428571429
0,0.0,0.0,0.0,-1,0,0,1207499,0.0,1.656316071483289
50056,1238.0,3024.0,50.317527831278205,-1,443,6,89968649,405.7847098761002,0.3445644715638666
0,0.0,0.0,0.0,-1,0,0,46781971,0.0,0.0427515121156395
0,0.0,0.0,0.0,-1,0,0,552111,0.0,7.244919952690672
0,0.0,0.0,0.0,-1,0,0,45026049,0.0,0.1998842936452185
0,0.0,0.0,0.0,-1,0,0,15416898,0.0,0.9080944817822626
0,0.0,0.0,0.0,-1,0,0,2337091,0.0,0.8557647092047336
62870,0.0,0.0,1116.4068873717206,-1,19302,17,46578,0.0,42.938726437373866
0,0.0,0.0,0.0,-1,0,0,257049,0.0,7.780617703239459
0,0.0,0.0,0.0,-1,0,0,80668197,0.0,0.1363610494480247
0,0.0,0.0,0.0,-1,0,0,1388669,0.0,1.4402280168996355
0,0.0,0.0,0.0,-1,0,0,11669403,0.0,5.227345392047905
0,0.0,0.0,0.0,-1,0,0,1991666,0.0,1.5062766548206377
0,0.0,0.0,0.0,-1,0,0,1143683,0.0,12.241154235920268
